"hours","cap","psi","kPa","cap*kPa","C6"
3137,120,375,2585.53398375,310264.07805,14400
3590,65,750,5171.0679675,336119.4178875,4225
4526,150,500,3447.378645,517106.79675,22500
10825,1073.8,2170,14961.6233193,16065791.12026434,1153046.44
4023,150,325,2240.79611925,336119.4178875,22500
7606,610,1500,10342.135935,6308702.92035,372100
3748,88.2,399,2751.00815871,242638.919598222,7779.240000000001
2972,88.2,399,2751.00815871,242638.919598222,7779.240000000001
3163,88.2,399,2751.00815871,242638.919598222,7779.240000000001
4065,90,1140,7860.023310600001,707402.097954,8100
2048,30,325,2240.79611925,67223.8835775,900
6500,441,410,2826.8504889,1246641.0656049,194481
5651,441,410,2826.8504889,1246641.0656049,194481
6565,441,410,2826.8504889,1246641.0656049,194481
6387,441,410,2826.8504889,1246641.0656049,194481
6454,627,1525,10514.50486725,6592594.55176575,393129
6928,610,1500,10342.135935,6308702.92035,372100
4268,150,500,3447.378645,517106.79675,22500
14791,1089.5,2170,14961.6233193,16300688.60637735,1187010.25
2680,125,750,5171.0679675,646383.4959375,15625
2974,120,375,2585.53398375,310264.07805,14400
1965,65,750,5171.0679675,336119.4178875,4225
2566,150,500,3447.378645,517106.79675,22500
1515,150,250,1723.6893225,258553.398375,22500
2000,150,500,3447.378645,517106.79675,22500
2735,150,325,2240.79611925,336119.4178875,22500
3698,610,1500,10342.135935,6308702.92035,372100
2635,90,1140,7860.023310600001,707402.097954,8100
1206,30,325,2240.79611925,67223.8835775,900
3775,441,410,2826.8504889,1246641.0656049,194481
3120,441,410,2826.8504889,1246641.0656049,194481
4206,441,410,2826.8504889,1246641.0656049,194481
4006,441,410,2826.8504889,1246641.0656049,194481
3728,627,1525,10514.50486725,6592594.55176575,393129
3211,610,1500,10342.135935,6308702.92035,372100
1200,30,325,2240.79611925,67223.8835775,900
